learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample
0.01,4,4,2,3,0.8
0.2,4,2,10,5,0.6
0.2,4,2,10,5,0.6
0.2,4,2,10,5,0.6
0.2,4,2,5,3,1.0
0.1,3,2,2,4,0.8
0.2,4,2,5,3,1.0
0.2,4,2,5,3,1.0
0.1,3,2,2,4,0.8
0.1,3,2,2,4,0.8
0.3,4,2,5,2,0.6
0.3,4,2,5,2,0.6
0.2,4,1,5,5,0.6
0.2,4,1,5,5,0.6
0.2,4,1,5,5,0.6
0.3,4,2,5,2,0.6
0.1,5,4,10,4,0.8
0.1,5,4,10,4,0.8
0.1,5,4,10,4,0.8
0.2,5,2,10,2,0.6
0.2,5,2,10,2,0.6
0.1,4,4,10,3,1.0
0.1,4,4,10,3,1.0
0.2,5,2,10,2,0.6
0.1,4,4,10,3,1.0
0.01,5,2,2,5,0.6
0.01,5,2,2,5,0.6
0.01,5,2,2,5,0.6
0.3,4,1,10,3,0.6
0.3,4,1,10,3,0.6
0.3,4,1,10,3,0.6
0.2,5,4,2,5,0.6
0.2,5,4,2,5,0.6
0.2,5,4,2,5,0.6
0.1,4,2,5,4,0.6
0.1,4,2,5,4,0.6
0.1,4,2,5,4,0.6
0.2,4,4,10,3,0.6
0.3,4,1,2,5,1.0
0.3,4,1,2,5,1.0
0.2,4,4,10,3,0.6
0.2,4,4,10,3,0.6
0.3,4,1,2,5,1.0
0.1,4,1,2,2,0.8
0.1,4,1,2,2,0.8
0.1,4,1,2,2,0.8
0.3,3,1,10,5,0.8
0.2,5,4,10,5,0.8
0.2,5,4,10,5,0.8
0.3,3,1,10,5,0.8
0.3,3,1,10,5,0.8
0.2,5,4,10,5,0.8
0.2,4,4,2,5,0.8
0.2,4,4,2,5,0.8
0.2,3,4,2,2,0.8
0.2,3,4,2,2,0.8
0.2,3,4,2,2,0.8
0.01,3,1,10,4,1.0
0.01,3,1,10,4,1.0
0.01,3,1,10,4,1.0
0.2,4,4,2,5,0.8
0.3,5,4,5,3,0.6
0.3,5,4,5,3,0.6
0.3,5,4,5,3,0.6
0.1,5,4,2,4,0.6
0.01,3,4,2,5,0.6
0.01,3,4,2,5,0.6
0.1,5,4,2,4,0.6
0.1,5,4,2,4,0.6
0.01,3,4,2,5,0.6
0.2,4,2,5,5,0.6
0.2,4,2,5,5,0.6
0.2,3,1,10,4,0.8
0.2,3,1,10,4,0.8
0.2,3,1,10,4,0.8
0.3,4,4,2,3,0.8
0.3,4,4,2,3,0.8
0.2,4,2,5,5,0.6
0.1,5,2,5,3,0.6
0.3,4,4,2,3,0.8
0.1,5,2,5,3,0.6
0.1,5,2,5,3,0.6
0.1,3,4,5,4,0.8
0.1,3,4,5,4,0.8
0.1,3,4,5,4,0.8
0.2,4,4,5,2,1.0
0.2,4,4,5,2,1.0
0.01,5,2,10,5,0.8
0.01,5,2,10,5,0.8
0.01,5,2,10,5,0.8
0.01,5,1,5,3,1.0
0.01,5,1,5,3,1.0
0.01,5,1,5,3,1.0
0.2,4,4,5,2,1.0
0.1,3,4,10,4,0.8
0.1,3,4,10,4,0.8
0.1,3,4,10,4,0.8
0.01,5,1,10,4,0.8
0.01,5,2,2,2,1.0
0.01,5,2,2,2,1.0
0.01,5,1,10,4,0.8
0.01,5,1,10,4,0.8
0.01,5,2,2,2,1.0
